institution,control,state,admission_rate,act,debt_all,debt_graduates,earnings,completion_rate
University of Wisconsin-Eau Claire,Public,WI,0.7746,26,13000,20909,55619,0.6805
University of Wisconsin-Green Bay,Public,WI,0.9143,25,11250,18500,49099,0.5461
University of Wisconsin-La Crosse,Public,WI,0.7385,26,18000,22500,57125,0.7302
Wisconsin Lutheran College,Private (Non-Profit),WI,0.9802,28,19500,26000,51291,0.6105
University of Wisconsin-Oshkosh,Public,WI,0.8989,23,12500,21500,51418,0.5518
University of Wisconsin-Parkside,Public,WI,0.7497,24,14000,20492,45774,0.4151
University of Wisconsin-Stout,Public,WI,0.9139,26,16000,23000,56554,0.5611
University of Wisconsin-Superior,Public,WI,0.7623,24,14055,22500,45677,0.4298
University of Wisconsin-Madison,Public,WI,0.6035,32,18058,20484,70586,0.892
University of Wisconsin-Milwaukee,Public,WI,0.8896,25,15250,23000,53169,0.4735
University of Wisconsin-Platteville,Public,WI,0.8757,26,15000,21977,55720,0.5896
University of Wisconsin-River Falls,Public,WI,0.86240000000000006,25,14865,20500,50940,0.5664
University of Wisconsin-Stevens Point,Public,WI,0.9016,25,14674,21503,48872,0.5545
University of Minnesota-Rochester,Public,MN,0.8023,29,16727,19500,65087,0.4659
