name,state,region,adm_rate,num_undergrads,median_debt,median_debt_grads,median_earnings,bachelors_degree
Holy Name Medical Center-Sister Claire Tynan School of Nursing,NJ,2,0.5,183,14750,19999,79610,0
Hope College,MI,3,0.7783,2963,23830,26960,53796,1
Houghton College,NY,2,0.7998,838,20000,25000,43767,1
Illinois State University,IL,3,0.8131,17955,16000,20000,55457,1
Indiana State University,IN,3,0.9229,8897,14000,23457,42877,1
Inter American University of Puerto Rico-Arecibo,PR,9,0.3899,2955,5500,8725,22457,1
Jewish Theological Seminary of America,NY,2,0.5833,132,16750,NA,NA,1
Johnson & Wales University-Online,RI,1,0.3649,1314,16000,25750,41977,1
Johnson C Smith University,NC,5,0.492,1248,19226,31000,37073,1
Johnson University,TN,5,0.5497,708,15250,23250,36422,1
Judson College,AL,5,0.5648,219,15750,27000,29569,1
Kennesaw State University,GA,5,0.8311,36284,15631,24000,51792,1
Keuka College,NY,2,0.9091,1300,21255,26000,52489,1
La Roche University,PA,2,0.6891,1079,19500,25000,46784,1
La Sierra University,CA,8,0.5697,1462,17750,27000,55004,1
Lamar University,TX,6,0.8268,8220,13000,21119,44159,1
Lee University,TN,5,0.8301,3812,18750,25750,40101,1
Life University,GA,5,0.9681,938,9500,16801,46619,1
Lindenwood University,MO,4,0.9213,4780,21065,26327,47009,1
Long Island Business Institute,NY,2,0.8173,1131,12095,19090,23428,0
Loyola University New Orleans,LA,5,0.7239,3144,16749,25792,48747,1
Lyon College,AR,5,0.5015,665,9500,27000,43343,1
Madison Oneida BOCES-Practical Nursing Program,NY,2,0.875,25,7125,8633,34239,0
Manhattanville College,NY,2,0.8981,1373,20500,25000,54038,1
Mansfield University of Pennsylvania,PA,2,0.9602,1614,19051,25990,42931,1
Marquette University,WI,3,0.8249,7828,20500,24000,72489,1
Massachusetts Institute of Technology,MA,1,0.0726,4360,12000,13418,111222,1
McPherson College,KS,4,0.5216,808,15000,25949,42168,1
Mercyhurst University,PA,2,0.8802,2369,19000,26000,46423,1
Merkaz Bnos-Business School,NY,2,0.8776,139,NA,NA,26431,0
Mesivta Torah Vodaath Rabbinical Seminary,NY,2,0.9,364,NA,NA,NA,1
Miami University-Oxford,OH,3,0.9195,16418,16000,23522,54650,1
Midwestern Baptist Theological Seminary,MO,4,0.97,858,11500,16871,41664,1
Millersville University of Pennsylvania,PA,2,0.8455,6314,16750,24194,48420,1
Mills College,CA,8,0.9114,603,16750,22500,58594,1
Mirrer Yeshiva Cent Institute,NY,2,0.8621,131,NA,NA,NA,1
Mississippi College,MS,5,0.2876,2515,16595,22500,45183,1
Mitchell College,CT,1,0.7422,571,13500,25500,36391,1
Moody Bible Institute,IL,3,0.9751,2134,10664,14000,NA,1
Moore College of Art and Design,PA,2,0.5004,365,20000,27000,38677,1
Mount Aloysius College,PA,2,0.9524,1082,18500,25284,43272,1
Nebraska Wesleyan University,NE,4,0.6953,1767,18063,26966,52697,1
New Jersey Institute of Technology,NJ,2,0.6603,8311,17500,21500,80043,1
New Mexico State University-Main Campus,NM,6,0.6267,11107,10500,18464,36683,1
North Central College,IL,3,0.5329,2453,19000,24289,54460,1
Northwestern University,IL,3,0.0931,8401,14000,15000,80033,1
Notre Dame College,OH,3,0.8743,1217,16775,27000,43634,1
Notre Dame of Maryland University,MD,2,0.6229,751,16199,22500,50974,1
Nyack College,NY,2,0.9732,1171,17500,25999,44409,1
Oberlin College,OH,3,0.3536,2647,21000,25986,47921,1
Occidental College,CA,8,0.409,1835,19500,22336,67388,1
Oklahoma Baptist University,OK,6,0.5821,1610,13900,22795,43596,1
Oral Roberts University,OK,6,0.7839,3080,19000,27000,42161,1
Otis College of Art and Design,CA,8,0.8032,1030,21500,27000,54531,1
Pacific Islands University,GU,9,0.9732,273,NA,NA,20443,1
Park University,MO,4,NA,8217,12380,21397,51085,1
Paroba College of Cosmetology,WA,8,NA,103,7917,7917,27020,0
Pennsylvania State University-Penn State Berks,PA,2,NA,NA,NA,NA,NA,0
Plaza College,NY,2,0.3001,869,11843,18842,29986,1
Point Park University,PA,2,0.6951,2787,19582,27000,43351,1
Pomona College,CA,8,0.0862,1462,10000,12000,69149,1
Providence College,RI,1,0.5386,4242,26800,27000,69532,1
Quinnipiac University,CT,1,0.8239,6787,21500,26000,75575,1
Randolph-Macon College,VA,5,0.7131,1551,21500,27000,53288,1
Rhode Island College,RI,1,0.8127,5892,14000,21002,49249,1
Rice University,TX,6,0.1089,4052,10500,12000,77683,1
Rider University,NJ,2,0.7566,3567,20075,26000,56442,1
Riverside College of Health Careers,VA,5,NA,303,13500,14534,53302,0
Rollins College,FL,5,0.6081,2536,22048,26000,53363,1
SUNY College at Geneseo,NY,2,0.6136,4820,15500,20047,56241,1
SUNY College at Old Westbury,NY,2,0.5308,4543,12000,15250,50921,1
SUNY College of Technology at Alfred,NY,2,0.7172,3651,12000,15000,48256,1
Sacred Heart University,CT,1,0.6553,6356,20000,25561,72191,1
Saint Ambrose University,IA,4,0.7384,2299,19000,25000,54600,1
Saint Mary's University of Minnesota,MN,4,0.841,1315,15250,20832,54950,1
Sam Houston State University,TX,6,0.925,18811,16694,22020,50125,1
San Francisco Conservatory of Music,CA,8,0.4562,243,20875,26835,37744,1
San Francisco State University,CA,8,0.8409,23411,12500,15369,60126,1
Shepherd University,WV,5,0.977,2479,14168,21170,45723,1
Southeast Missouri State University,MO,4,0.9333,7659,14450,21614,39874,1
Southern Connecticut State University,CT,1,0.7968,7239,14250,21500,51551,1
Southern Illinois University-Edwardsville,IL,3,0.8505,9892,16373,20935,51671,1
Southern New Hampshire University,NH,1,0.9354,109233,9250,20867,52024,1
Southwestern Christian University,OK,6,NA,452,13881,22500,36198,1
Southwestern College,CA,8,NA,15548,4072,4900,37777,0
Southwestern College,KS,4,0.5624,1253,12719,23250,50205,1
Southwestern College,NM,6,NA,NA,NA,NA,NA,1
Southwestern Oklahoma State University,OK,6,0.932,3834,11000,16156,43079,1
St. John's College,MD,2,0.6139,383,19500,27000,48751,1
St. John's College,NM,6,0.6891,268,15000,27000,43203,1
St. Joseph's College of Nursing,NY,2,0.7273,383,12000,12000,68467,0
Stanford University,CA,8,0.0519,6366,11000,12000,97798,1
